procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 633024 202872 1835704    0    0   970  1122  347  691  8  3 88  1  0
 8  0      0 576664 213336 1874476    0    0 28663 26893 9393 20175 55 40  2  4  0
11  0      0 531656 223436 1908300    0    0 25200 25765 8288 17787 54 41  2  3  0
 8  1      0 489444 232628 1941276    0    0 24176 24392 8329 17049 55 42  1  2  0
10  0      0 449776 241748 1971808    0    0 22842 23725 7529 15989 55 41  1  3  0
 8  0      0 429536 250916 1982744    0    0 23741 24076 7774 16177 55 41  1  3  0
11  0      0 419912 260220 1983040    0    0 23885 24278 8006 16185 54 42  1  2  0
 9  0      0 410508 269324 1983380    0    0 23882 24286 7594 15946 55 41  2  3  0
 7  0      0 403444 276328 1983580    0    0 24619 24683 8063 16284 55 41  2  3  0
 3  4      0 398656 280644 1983712    0    0 24993 25674 7916 16435 54 41  2  3  0
12  1      0 393112 286172 1983872    0    0 24473 24949 7899 16023 55 41  1  3  0
 0  0      0 392856 293140 1984072    0    0  6374 10731 2065 3860 13  9 75  3  0
 0  0      0 386296 296380 1984256    0    0  1510  6827  579  752  3  2 94  1  0
 9  0      0 374400 296556 1984460    0    0  1258   331  448  849  3  2 95  0  0
 6  2      0 362996 302088 1984652    0    0 24233 23431 8036 17082 55 41  1  2  0
 8  0      0 357200 307464 1984808    0    0 24788 24897 8464 17777 55 41  1  3  0
 7  1      0 354932 313036 1984968    0    0 24725 25357 8304 17380 54 42  2  3  0
 8  1      0 348592 318212 1985140    0    0 23182 23505 7679 15955 56 41  1  2  0
 6  2      0 343552 323692 1985304    0    0 24274 24203 7677 16406 55 41  1  3  0
 8  0      0 338008 329224 1985468    0    0 23438 23623 7575 15683 54 40  1  4  0
 6  2      0 332464 334416 1985620    0    0 23999 23987 7721 15976 55 41  1  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  8      0 329196 337848 1985712    0    0 24594 24558 7596 15999 55 41  1  3  0
 8  0      0 326424 340432 1985792    0    0 24557 25034 7631 15971 55 41  1  3  0
 4  2      0 323116 343564 1985900    0    0 25979 26424 8067 16826 55 41  2  3  0
 2  0      0 325884 347092 1985908    0    0  5817 10436 1837 3447 11  8 78  3  0
 1  0      0 327688 349124 1985980    0    0  1615  6952  559  760  3  2 93  1  0
 2  0      0 327940 349164 1985992    0    0     0   301  116  192  2  0 98  0  0
 1  0      0 328460 349180 1985996    0    0     0     4  129  218  2  0 98  0  0
13  0      0 316264 350156 1986060    0    0  8714  6675 2923 5922 19 13 67  1  0
 7  0      0 311224 353144 1986156    0    0 22413 22877 7682 16029 55 41  1  2  0
 9  0      0 306932 356432 1986272    0    0 22808 23019 7747 16063 55 42  1  2  0
 9  0      0 304160 359508 1986368    0    0 23523 23664 7876 16232 55 41  1  2  0
15  0      0 300884 362808 1986456    0    0 23646 23470 7717 16002 55 41  1  3  0
 7  0      0 297396 366036 1986568    0    0 24865 25167 8094 16932 55 41  1  3  0
 8  0      0 293860 369544 1986704    0    0 23840 23852 7559 15786 54 40  1  4  0
 8  0      0 290836 372116 1986788    0    0 24074 24636 7819 16153 55 41  2  3  0
 9  0      0 289324 373660 1986836    0    0 24458 24801 7676 16034 54 42  2  3  0
 2  0      0 294188 376584 1986824    0    0 18864 20795 6060 12454 42 31 24  3  0
 1  0      0 293684 377648 1986776    0    0  2971  7528  841 1199  4  2 92  2  0
 9  0      0 120668 377960 1875796    0    0 10790  7699 4008 8442 30 21 47  2  0
10  0      0 119408 378776 1876280    0    0  8365 14838 6024 14882 61 37  1  1  0
 9  0      0 117140 379904 1876332    0    0  7992 15950 6228 14594 61 38  1  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 114620 381096 1876360    0    0  8137 16152 6171 14551 61 38  1  1  0
 9  0      0 110076 382420 1877248    0    0  9438 18221 6668 16168 62 37  1  1  0
 7  1      0 107224 383624 1877472    0    0  8831 17396 6207 14808 61 38  1  1  0
11  0      0 105964 384880 1877532    0    0  8682 17156 6124 14538 60 38  1  1  0
 9  0      0 103948 386132 1877588    0    0  9220 17591 6303 15010 61 38  1  1  0
 8  1    512 125060 387456 1852912    0    7  8958 17713 6265 14823 61 38  1  1  0
 8  1    512 122776 388792 1852988    0    0  8990 17758 6329 14787 61 38  1  1  0
 0  0    512 125796 392412 1853112    0    0  6966 15005 4737 10773 43 27 29  2  0
