procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0    512 687484 407872 1684772    0    0  4655  5842 1933  855 30 20 49  1  0
 9  0    512 252076 408260 1684612    0    0 16853 16356 9273 22502 59 39  1  1  0
10  0    512 249808 408528 1684640    0    0 11907 22534 8929 21205 60 39  1  1  0
 9  1    512 248800 408656 1684652    0    0 10133 19644 7294 17209 59 38  1  1  0
10  0    512 248004 408892 1684692    0    0  8177 16734 5656 13696 58 38  2  2  0
 9  0    512 247248 409204 1684692    0    0  9234 17821 6504 15472 59 38  1  2  0
 9  0    512 247248 409584 1684728    0    0  8717 17118 5897 14234 60 37  1  2  0
10  0    512 246744 409956 1684740    0    0  8996 17408 5908 14279 58 38  2  2  0
 8  1    512 246280 410400 1684760    0    0  9168 17387 6012 14492 58 38  2  2  0
10  0    512 244996 410736 1684796    0    0  7763 16039 5323 12622 59 37  2  2  0
 9  1    512 245500 411128 1684820    0    0  8819 16772 5805 13972 58 38  2  2  0
 1  0    512 248528 412776 1684844    0    0  3753 10917 2060 4363 11  7 77  5  0
 1  0    512 249080 413216 1685040    0    0  2471  7701  872 1206  2  2 94  2  0
 1  0    512 243180 413268 1685268    0    0     0  5628  503  698  3  1 96  1  0
 7  0    512 104644 413364 1623568    0    0 11059  1328 4485 10829 29 20 48  2  0
 4  0    512 104036 413352 1405540    0    0  3939 11842 6060 16732 62 38  0  0  0
10  0    512 103028 413432 1405556    0    0  3315 14431 5713 15435 61 38  1  1  0
 9  0    512 149356 413620 1405740    0    0  3149 13949 6025 15829 60 38  1  1  0
 9  0    512 140820 413864 1414800    0    0  3317 15294 6481 16996 60 38  1  1  0
 8  1    512 140820 413940 1414824    0    0  3240 15708 5985 15486 61 38  1  1  0
 2  0    512 139812 414020 1414864    0    0  2965 14539 5489 13807 60 38  1  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0    512 138048 414212 1414880    0    0  5668 18811 9792 25912 61 37  1  1  0
14  0    512 135772 414476 1414928    0    0  6392 24922 11188 28865 60 38  1  1  0
 6  1    512 135772 414788 1414940    0    0  1550 15369 3054 7046 55 39  3  3  0
 2  0    512 134516 414984 1414964    0    0  1978  9086 2115 4760 29 20 48  3  0
 0  0    512 133328 415084 1415456    0    0  2222  6541  480  615  2  2 94  2  0
 3  0    512 134076 415180 1415504    0    0     0  6164  314  490  1  1 96  2  0
 0  0    512 133824 415256 1415512    0    0     0  5017  210  292  0  0 98  1  0
 0  0    512 838052 415264 1418672    0    0  3736   242  474  608  0  1 96  3  0
 8  0    512 110136 415368 1400988    0    0 11056  6927 9850 26469 50 33 16  0  0
 8  0    512 113212 415684 1294092    0    0  4512 21442 12049 30661 61 38  1  0  0
 9  0    512 122524 415920 1282908    0    0  4355 22544 12766 31174 60 38  1  1  0
 8  0    512 103248 416120 1301764    0    0  4617 24291 12432 31196 61 38  1  0  0
 9  0    512 102240 416316 1301784    0    0  4921 25339 12037 31752 60 38  1  0  0
 9  0    512 101484 416444 1301804    0    0  5056 25751 11995 31468 60 39  1  0  0
 8  0    512 121508 416488 1282024    0    0  5262 26128 12035 31543 60 39  1  1  0
 8  0    512 105128 416720 1297984    0    0  5534 26528 12010 31597 60 39  1  1  0
 8  0    512 104624 416856 1298024    0    0  5528 26921 12196 31890 59 39  1  1  0
 8  0    512 103616 416940 1298044    0    0  5545 26980 11908 31797 60 39  1  1  0
 0  0    512 120244 417228 1277696    0    0  3804 14872 4571 11646 21 14 63  2  0
 0  0    512 116196 417524 1282472    0    0  1176  7412  711 1120  1  1 97  2  0
 1  0    512 116204 417584 1282500    0    0     0  6497  377  531  0  0 99  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0    512 116204 417660 1282520    0    0     0  6493  393  450  0  0 99  1  0
 1  0    512 116204 417684 1282524    0    0     0  3450  229  196  0  0 99  0  0
 1  0    512 116604 417688 1282612    0    0     0     3   30   62  0  0 100  0  0
 1  0    512 116604 417688 1282620    0    0     0    13   27   56  0  0 100  0  0
 2  0    512 116604 417688 1282632    0    0     0     3   28   57  0  0 100  0  0
 1  0    512 116604 417688 1282644    0    0     0     3   28   57  0  0 100  0  0
 1  0    512 115776 417688 1282724    0    0     0    18   32   62  0  0 100  0  0
 1  0    512 116596 417688 1282676    0    0     0     2   28   57  0  0 100  0  0
 2  0    512 116596 417688 1282684    0    0     0     3   25   54  0  0 100  0  0
 1  0    512 116596 417688 1282696    0    0     0     2   28   60  0  0 100  0  0
 1  0    512 116596 417688 1282708    0    0     0     3   25   54  0  0 100  0  0
10  0    512 116580 417688 1282728    0    0     0     3   30   63  0  0 100  0  0
 2  0    512 116580 417688 1282740    0    0     0    13   25   54  0  0 100  0  0
 1  0    512 116580 417688 1282748    0    0     0     2   23   54  0  0 100  0  0
 1  0    512 116580 417688 1282760    0    0     0     3   25   54  0  0 100  0  0
 2  0    512 116100 417688 1282748    0    0     0     4   30   62  0  0 100  0  0
 2  0    512 116352 417692 1282888    0    0     0    19   34   64  0  0 100  0  0
 1  0    512 116100 417696 1282900    0    0     0     7   29   58  0  0 100  0  0
 1  0    512 116100 417696 1282908    0    0     0     3   27   57  0  0 100  0  0
 1  0    512 117976 417696 1282916    0    0     0     4   28   59  0  0 100  0  0
 1  0    512 117976 417696 1282928    0    0     0     8   29   57  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 116328 417704 1283140    0    0     2     5   33   66  0  0 100  0  0
 1  0    512 116328 417704 1283152    0    0     0    14   27   56  0  0 100  0  0
 1  0    512 116328 417708 1283160    0    0     0     2   26   54  0  0 100  0  0
 1  0    512 116328 417708 1283172    0    0     0     3   24   54  0  0 100  0  0
 1  0    512 125680 417708 1273072    0    0     0     4   41   82  0  0 99  0  0
 1  0    512 1441544 417780 1276584    0    0    62    26   64  106  1  0 99  0  0
 2  0    512 965048 417780 1277004    0    0  4135   238  434  614  0  1 96  4  0
 1  0    512 965544 417780 1277012    0    0     0     9   28   58  0  0 100  0  0
 1  0    512 966048 417780 1277016    0    0     0     3   28   60  0  0 100  0  0
 2  0    512 965800 417780 1277032    0    0     0    10   29   60  0  0 100  0  0
 1  0    512 963876 417780 1277048    0    0     0     7   32   66  0  0 100  0  0
 1  0    512 963884 417780 1277056    0    0     0    16   32   63  0  0 100  0  0
 2  0    512 963884 417780 1277064    0    0     0     6   29   60  0  0 100  0  0
 1  0    512 963884 417780 1277076    0    0     0     3   28   60  0  0 100  0  0
 2  0    512 963884 417780 1277088    0    0     0     3   29   60  0  0 100  0  0
 1  0    512 964136 417780 1277168    0    0     0    19   34   69  0  0 100  0  0
 1  0    512 964136 417784 1277176    0    0     0     2   27   58  0  0 100  0  0
 1  0    512 964136 417784 1277188    0    0     0     3   28   57  0  0 100  0  0
 1  0    512 964136 417788 1277200    0    0     0     3   26   57  0  0 100  0  0
12  0    512 963380 417792 1277220    0    0     0     5   31   65  0  0 100  0  0
 1  0    512 963380 417792 1277224    0    0     0    15   26   56  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0    512 963380 417792 1277232    0    0     0     2   24   53  0  0 100  0  0
 1  0    512 963380 417792 1277244    0    0     0     3   24   54  0  0 100  0  0
 1  0    512 963096 417792 1277284    0    0     0     4   29   61  0  0 100  0  0
 1  0    512 963884 417792 1277268    0    0     0    13   29   59  0  0 100  0  0
 1  0    512 963852 417792 1277272    0    0     0     3   30   59  0  0 100  0  0
 1  0    512 963044 417860 1278900    0    0    23    13   59  112  0  0 99  0  0
 3  0    512 962492 417860 1278872    0    0     0    13   56   99  0  0 100  0  0
 1  0    512 957340 417864 1279040    0    0     2    25   78  151  0  0 99  0  0
 9  0    512 296540 417924 1296612    0    0  9511  5356 7538 18645 55 36  9  0  0
 9  0    512 246644 418072 1296632    0    0  4072 16299 7407 19677 61 38  0  0  0
11  0    512 245384 418176 1296648    0    0  3852 16141 7181 19620 62 37  1  0  0
