procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1    512 641672 397556 1791888    0    0  4928  5651 1809 3835 28 19 52  1  0
 7  1    512 108964 397796 1706532    0    0 11972  7485 6911 15592 60 40  0  0  0
 9  0    512 106104 398080 1706712    0    0  5646 13346 6299 15390 62 37  1  0  0
10  0    512 105600 398240 1706712    0    0  5773 15589 6232 15691 62 37  1  0  0
 9  0    512 104852 398656 1706800    0    0  5705 15562 5990 14796 62 37  1  0  0
 9  0    512 122720 399360 1683480    0    0  7439 17792 7658 18790 61 38  1  1  0
 8  0    512 118184 400484 1683496    0    0 12407 28653 12869 31539 60 38  1  1  0
 7  0    512 116420 401536 1683920    0    0  8318 22015 8127 20388 60 38  1  1  0
 6  1    512 113276 402472 1684144    0    0  8730 21861 8094 20874 61 37  1  1  0
 3  1    512 113332 403292 1684120    0    0  7489 19988 7058 18099 60 38  1  1  0
 8  0    512 113332 404184 1684120    0    0  7741 19542 6840 18142 61 37  1  1  0
 3  0    512 114848 406928 1684164    0    0  3593 11430 2247 5095 12  8 76  4  0
 0  0    512 114588 407684 1684044    0    0  1799  8082  943 1469  2  1 94  3  0
 0  0    512 113856 407836 1684568    0    0     9  6494  365  363  0  1 98  1  0
 0  0    512 111328 407860 1684584    0    0     0   664   97  144  0  0 100  0  0
 0  0    512 999348 407868 1684296    0    0     0    17   88  151  0  0 100  0  0
 8  0    512 252076 408208 1684616    0    0 17816 14756 8718 20854 55 36  6  3  0
 8  0    512 249808 408524 1684640    0    0 11981 22543 9023 21437 59 39  1  1  0
 7  1    512 248800 408644 1684644    0    0 10109 19691 7320 17285 59 38  1  1  0
 8  1    512 246932 408852 1684744    0    0  8517 17240 5941 14201 58 38  2  2  0
 6  0    512 247248 409180 1684704    0    0  9057 17489 6291 15139 59 38  1  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0    512 247248 409572 1684724    0    0  8779 17197 6004 14384 60 37  1  2  0
 7  1    512 246744 409936 1684740    0    0  8900 17276 5930 14260 58 38  2  2  0
11  0    512 246280 410368 1684760    0    0  9267 17663 5978 14514 59 38  2  2  0
10  1    512 244996 410700 1684800    0    0  7927 16116 5403 12898 58 38  2  2  0
 9  0    512 245500 411064 1684816    0    0  8556 16324 5752 13657 58 39  2  2  0
 1  0    512 249284 412676 1684836    0    0  4375 11887 2445 5524 15 10 70  5  0
 2  0    512 246552 413212 1685044    0    0  2742  7904  956 1358  2  2 93  3  0
 0  0    512 243684 413268 1685268    0    0     0  6190  532  716  3  1 95  1  0
 7  0    512 121560 413364 1649332    0    0 10477   797 3788 9111 24 17 57  2  0
 9  0    512 104036 413344 1405540    0    0  4180 10884 6201 17053 61 38  0  0  0
 8  0    512 103028 413428 1405556    0    0  3388 14844 5794 15472 61 38  1  1  0
 9  0    512 149356 413596 1405736    0    0  3136 13682 5952 15794 60 38  1  1  0
 1  1    512 140820 413848 1414800    0    0  3299 15214 6450 16928 60 38  1  1  0
 9  0    512 140820 413940 1414824    0    0  3264 15620 6091 15661 61 38  1  1  0
 8  1    512 139812 414012 1414864    0    0  2971 14663 5442 13886 60 38  1  1  0
12  0    512 138300 414200 1414880    0    0  5376 17796 9277 24503 61 37  1  1  0
12  0    512 135772 414444 1414928    0    0  6742 25622 11858 30555 60 38  1  1  0
 3  1    512 135772 414760 1414940    0    0  1612 15992 3141 7330 55 38  3  3  0
 1  0    512 134768 414968 1414964    0    0  1857  9490 2348 5359 34 24 39  3  0
 0  0    512 133328 415084 1415456    0    0  2493  6675  503  628  3  2 93  2  0
 1  0    512 133004 415180 1415560    0    0     0  6288  323  516  0  1 97  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    512 133824 415256 1415512    0    0     0  5436  227  310  0  1 97  2  0
 1  0    512 838052 415264 1418672    0    0  3736   240  471  604  0  1 96  3  0
 8  0    512 121560 415344 1419056    0    0 10627  5655 8721 23664 45 30 25  0  0
 7  0    512 113212 415656 1294084    0    0  4561 20563 12181 30787 61 39  1  0  0
 9  0    512 126808 415908 1277552    0    0  4351 22785 12498 31125 60 38  1  1  0
 8  0    512 108288 416088 1296676    0    0  4605 24112 12837 31353 60 38  1  0  0
 8  0    512 102240 416316 1301784    0    0  4898 25264 11804 31657 61 38  1  0  0
 8  0    512 101484 416432 1301804    0    0  4999 25684 12000 31208 60 39  1  0  0
 8  0    512 121508 416488 1282020    0    0  5210 26078 12192 31572 60 39  1  1  0
 8  0    512 105128 416668 1298000    0    0  5562 26627 11795 31659 60 38  1  1  0
 7  1    512 104624 416844 1298016    0    0  5551 26820 12161 31877 59 39  1  1  0
 8  0    512 103616 416932 1298032    0    0  5537 27016 11938 31799 60 39  1  1  0
 0  0    512 119732 417180 1276324    0    0  4022 16376 5634 14338 26 17 55  2  0
 512 140564 414944 1414952    0    0  1666 10512 2756 6324 47 33 17  3  0
 0  0    512 133760 415068 1414972    0    0  2839  6607  514  609  3  2 93  2  0
