procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0    512 242516 418632 1296860    0    0  4531 18598 7483 19682 62 37  1  0  0
 8  0    512 242012 418676 1296888    0    0  4324 18531 7332 18984 62 37  1  0  0
 0  1    512 240000 418828 1296908    0    0  2934  9624 1720 3598  9  5 83  3  0
 1  0    512 243608 418964 1296976    0    0  1672  7989  892 1466  2  1 94  3  0
 1  0    512 243812 418996 1296988    0    0     0  5750  303  469  1  3 91  5  0
 0  1    512 707204  51392 1202636    0    0  3467  7906  675 1126 16  4 77  4  0
 3  0    512 706584  51984 1202572    0    0     0  2162   81  108  0  0 100  0  0
12  0    512 701080  52232 1205848    0    0    22    27   50   83  1  0 98  0  0
 1  0    512 701204  52264 1205860    0    0     0     2   24   53  0  0 100  0  0
 1  0    512 685924  52904 1207312    0    0    31    21   50  108  1  0 99  0  0
 1  0    512 548168 143580 1250952    0    0  1892   301  420  774  1  1 97  2  0
 1  0    512 548128 143628 1251204    0    0     3    14   33   64  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 548380 143664 1251208    0    0     0     3   27   56  0  0 100  0  0
 1  0    512 547104 143720 1251336    0    0     0     3   33   70  0  0 100  0  0
 1  0    512 547356 143756 1251348    0    0     0    14   30   59  0  0 100  0  0
 1  0    512 547632 143804 1251320    0    0     0    14   35   66  0  0 100  0  0
 1  0    512 547632 143856 1251336    0    0     0     8   30   60  0  0 100  0  0
 1  0    512 547380 143880 1251344    0    0     0     3   35   67  0  0 100  0  0
 1  0    512 547380 143920 1251360    0    0     0     4   40   87  0  0 100  0  0
 1  0    512 547608 143972 1251448    0    0     1    15   32   64  0  0 100  0  0
 1  0    512 547608 144008 1251456    0    0     0     3   28   59  0  0 100  0  0
 1  0    512 547608 144032 1251468    0    0     0     2   26   56  0  0 100  0  0
 1  0    512 547608 144064 1251472    0    0     0     2   26   57  0  0 100  0  0
 3  0    512 546040 144096 1251748    0    0     1     3   32   64  0  0 100  0  0
 1  0    512 546868 144164 1251688    0    0     0    18   32   62  0  0 100  0  0
 1  0    512 543080 144220 1251716    0    0     0     5   43   79  0  0 100  0  0
 2  0    512 538236 144352 1251820    0    0     1    15   92  187  0  0 99  0  0
 1  0    512 535976 144784 1251972    0    0     4    27  276  685  3  1 97  0  0
 1  0    512 535692 144896 1252392    0    0     5    28  107  219  0  0 99  0  0
 1  0    512 517980 145020 1256288    0    0     0    20  152  327  1  0 98  0  0
 1  0    512 517964 145120 1256364    0    0     1    18  113  270  1  0 98  0  0
 1  0    512 517476 145208 1256380    0    0     0    18   91  216  2  0 98  0  0
 2  0    512 516680 145280 1256628    0    0     1    20   34   69  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0    512 517192 145420 1256708    0    0     3     6   69  128  0  0 100  0  0
 1  0    512 517696 145516 1256876    0    0     3    15   76  134  0  0 100  0  0
 1  0    512 517444 145564 1256884    0    0     0     7   30   61  0  0 100  0  0
 2  0    512 516900 145604 1256932    0    0     0    14   34   67  0  0 100  0  0
 2  0    512 516900 145636 1256936    0    0     0     2   30   60  0  0 100  0  0
 1  0    512 516900 145668 1256948    0    0     0     2   30   58  0  0 100  0  0
 1  0    512 516900 145700 1256952    0    0     0     3   28   58  0  0 100  0  0
 2  0    512 516900 145732 1256972    0    0     0     2   30   59  0  0 100  0  0
 1  0    512 516420 145800 1256984    0    0     0    15   36   69  0  0 100  0  0
