page        index   level   data    free    records 
217         53      0       11260   4790    563     
218         53      0       9320    6774    466     
219         53      0       10400   5668    520     
220         53      0       11240   4816    562     
221         53      0       10300   5768    515     
222         53      0       11760   4278    588     
223         53      0       9500    6580    475     
224         53      0       12380   3660    619     
225         53      0       12360   3670    618     
226         53      0       13560   2456    678     
227         53      0       13640   2372    682     
228         53      0       13340   2678    667     
229         53      0       13820   2194    691     
230         53      0       12640   3386    632     
231         53      0       11960   4088    598     
232         53      0       11880   4154    594     
233         53      0       12420   3610    621     
234         53      0       11740   4310    587     
235         53      0       13100   2924    655     
236         53      0       12380   3654    619     
237         53      0       13900   2106    695     
238         53      0       12100   3938    605     
239         53      0       12120   3908    606     
240         53      0       12300   3734    615     
241         53      0       11780   4258    589     
242         53      0       11880   4166    594     
243         53      0       11700   4344    585     
244         53      0       11900   4144    595     
245         53      0       12060   3982    603     
246         53      0       11240   4814    562     
247         53      0       11720   4324    586     
248         53      0       11460   4598    573     
249         53      0       11460   4600    573     
250         53      0       13560   2450    678     
251         53      0       12300   3738    615     
252         53      0       11640   4410    582     
253         53      0       10900   5168    545     
254         53      0       12620   3418    631     
255         53      0       11700   4350    585     
256         47      0       15067   1065    247     
257         47      0       15067   1065    247     
258         47      0       15067   1065    247     
259         47      0       15067   1065    247     
260         47      0       15067   1065    247     
261         47      0       15067   1065    247     
262         47      0       15067   1065    247     
263         47      0       15067   1065    247     
264         47      0       15067   1065    247     
265         47      0       15067   1065    247     
266         47      0       15067   1065    247     
267         47      0       15067   1065    247     
268         47      0       15067   1065    247     
269         47      0       15067   1065    247     
270         47      0       15067   1065    247     
271         47      0       15067   1065    247     
272         47      0       15067   1065    247     
273         47      0       15067   1065    247     
274         47      0       15067   1065    247     
275         47      0       15067   1065    247     
276         47      0       15067   1065    247     
277         47      0       15067   1065    247     
278         47      0       15067   1065    247     
279         47      0       15067   1065    247     
280         47      0       15067   1065    247     
281         47      0       15067   1065    247     
282         47      0       15067   1065    247     
283         47      0       15067   1065    247     
284         47      0       15067   1065    247     
285         47      0       15067   1065    247     
286         47      0       15067   1065    247     
287         47      0       15067   1065    247     
288         47      0       15053   1085    233     
289         47      0       15048   1092    228     
290         47      0       15048   1092    228     
291         47      0       15048   1092    228     
292         47      0       15048   1092    228     
293         47      0       15048   1092    228     
294         47      0       15048   1092    228     
295         47      0       15048   1092    228     
296         47      0       15048   1092    228     
297         47      0       15048   1092    228     
298         47      0       15048   1092    228     
299         47      0       15048   1092    228     
300         47      0       15048   1092    228     
301         47      0       15048   1092    228     
302         47      0       15048   1092    228     
303         47      0       15048   1092    228     
304         47      0       15048   1092    228     
305         47      0       15048   1092    228     
306         47      0       15048   1092    228     
307         47      0       15048   1092    228     
308         47      0       15048   1092    228     
309         47      0       15048   1092    228     
310         47      0       15048   1092    228     
311         47      0       15048   1092    228     
312         47      0       15048   1092    228     
313         47      0       15048   1092    228     
314         47      0       15048   1092    228     
315         47      0       15048   1092    228     
316         47      0       15048   1092    228     
317         47      0       15048   1092    228     
318         47      0       15048   1092    228     
319         47      0       15048   1092    228     
320         47      0       15048   1092    228     
321         47      0       15048   1092    228     
322         47      0       15048   1092    228     
323         47      0       15048   1092    228     
324         47      0       15048   1092    228     
325         47      0       15048   1092    228     
326         47      0       15048   1092    228     
327         47      0       15048   1092    228     
328         47      0       15048   1092    228     
329         47      0       15048   1092    228     
330         47      0       15048   1092    228     
331         47      0       15048   1092    228     
332         47      0       15048   1092    228     
333         47      0       15048   1092    228     
334         47      0       15048   1092    228     
335         47      0       15048   1092    228     
336         47      0       15048   1092    228     
337         47      0       15048   1092    228     
338         47      0       15048   1092    228     
339         47      0       15048   1092    228     
340         47      0       15048   1092    228     
341         47      0       15048   1092    228     
342         47      0       15048   1092    228     
343         47      0       15048   1092    228     
344         47      0       15048   1092    228     
345         47      0       15048   1092    228     
346         47      0       15048   1092    228     
347         47      0       15048   1092    228     
348         47      0       15048   1092    228     
349         47      0       15048   1092    228     
350         47      0       15048   1092    228     
351         47      0       15048   1092    228     
352         47      0       15048   1092    228     
353         47      0       15048   1092    228     
354         47      0       15048   1092    228     
355         47      0       15048   1092    228     
356         47      0       15048   1092    228     
357         47      0       15048   1092    228     
358         47      0       15048   1092    228     
359         47      0       15048   1092    228     
360         47      0       15048   1092    228     
361         47      0       15048   1092    228     
362         47      0       15048   1092    228     
363         47      0       15048   1092    228     
364         47      0       15048   1092    228     
365         47      0       15048   1092    228     
366         47      0       15048   1092    228     
367         47      0       15048   1092    228     
368         47      0       15048   1092    228     
369         47      0       15048   1092    228     
370         47      0       15048   1092    228     
371         47      0       15048   1092    228     
372         47      0       15048   1092    228     
373         47      0       15048   1092    228     
374         47      0       15048   1092    228     
375         47      0       15048   1092    228     
376         47      0       15048   1092    228     
377         47      0       15048   1092    228     
378         47      0       15048   1092    228     
379         47      0       15054   1084    234     
380         47      0       15067   1065    247     
381         47      0       15067   1065    247     
382         47      0       15067   1065    247     
383         47      0       15067   1065    247     
384         53      0       11760   4288    588     
385         53      0       11480   4572    574     
386         53      0       11400   4662    570     
387         53      0       5180    10986   259     
388         53      0       12260   3776    613     
389         53      0       10900   5160    545     
390         53      0       12500   3530    625     
391         53      0       10840   5224    542     
392         53      0       10120   5956    506     
393         53      0       11020   5048    551     
394         53      0       11800   4262    590     
395         53      0       10480   5580    524     
396         53      0       11160   4896    558     
397         53      0       11020   5038    551     
398         53      0       11160   4904    558     
399         53      0       10780   5282    539     
400         53      0       10920   5144    546     
401         53      0       11440   4610    572     
402         53      0       10680   5380    534     
403         53      0       10440   5622    522     
404         53      0       11980   4060    599     
405         53      0       10540   5526    527     
406         53      0       10300   5772    515     
407         53      0       11360   4692    568     
408         53      0       11060   4994    553     
409         53      0       10160   5912    508     
410         53      0       10240   5830    512     
411         53      0       11060   4992    553     
412         53      0       10560   5500    528     
413         53      0       10800   5266    540     
414         53      0       9940    6136    497     
415         53      0       10060   6018    503     
416         53      0       13500   2512    675     
417         53      0       14580   1410    729     
418         53      0       14140   1862    707     
419         53      0       14140   1866    707     
420         53      0       13300   2726    665     
421         53      0       14220   1770    711     
422         53      0       13580   2434    679     
423         53      0       14840   1146    742     
424         53      0       14860   1128    743     
425         53      0       15000   988     750     
426         53      0       14320   1686    716     
427         53      0       13020   3008    651     
428         53      0       12720   3304    636     
429         53      0       13520   2498    676     
430         53      0       12800   3224    640     
431         53      0       11760   4286    588     
432         53      0       12160   3872    608     
433         53      0       12720   3310    636     
434         53      0       12520   3502    626     
435         53      0       11720   4334    586     
436         53      0       11740   4302    587     
437         53      0       13400   2612    670     
438         53      0       12260   3772    613     
439         53      0       12660   3374    633     
440         53      0       12860   3164    643     
441         53      0       12000   4038    600     
442         53      0       11820   4226    591     
443         53      0       12400   3632    620     
444         53      0       11240   4812    562     
445         53      0       11900   4142    595     
446         53      0       12680   3340    634     
447         53      0       11920   4126    596     
448         47      0       15067   1065    247     
449         47      0       15067   1065    247     
450         47      0       15067   1065    247     
451         47      0       15067   1065    247     
452         47      0       15067   1065    247     
453         47      0       15067   1065    247     
454         47      0       15067   1065    247     
455         47      0       15067   1065    247     
456         47      0       15067   1065    247     
457         47      0       15067   1065    247     
458         47      0       15067   1065    247     
459         47      0       15067   1065    247     
460         47      0       15067   1065    247     
461         47      0       15067   1065    247     
462         47      0       15067   1065    247     
463         47      0       15067   1065    247     
464         47      0       15067   1065    247     
465         47      0       15067   1065    247     
466         47      0       15067   1065    247     
467         47      0       15067   1065    247     
