procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0    512 546868 144156 1251692    0    0     0    17   32   62  0  0 100  0  0
 2  0    512 546868 144212 1251708    0    0     0     4   39   72  0  0 100  0  0
 1  0    512 538016 144332 1251792    0    0     1    12   73  139  0  0 99  0  0
 1  0    512 536228 144784 1251964    0    0     4    30  294  730  3  1 96  0  0
 1  0    512 535440 144888 1252388    0    0     5    17  105  215  0  0 99  0  0
 1  0    512 517980 145020 1256284    0    0     0    33  159  341  1  0 98  0  0
 1  0    512 517964 145120 1256356    0    0     1    18  113  271  1  0 98  0  0
 5  0    512 533568 145184 1252656    0    0     0    14   76  174  1  0 99  0  0
 1  0    512 516680 145280 1256624    0    0     1    14   50  111  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 517192 145420 1256704    0    0     3    17   69  128  0  0 100  0  0
 1  0    512 520476 145512 1256736    0    0     1    15   73  130  0  0 100  0  0
 1  0    512 517444 145564 1256876    0    0     2     7   33   66  0  0 100  0  0
 1  0    512 516900 145596 1256928    0    0     0     3   33   66  0  0 100  0  0
 1  0    512 516900 145636 1256932    0    0     0    13   32   61  0  0 100  0  0
 1  0    512 516900 145660 1256944    0    0     0     2   30   58  0  0 100  0  0
 3  0    512 516900 145692 1256956    0    0     0     3   27   57  0  0 100  0  0
 0  0    512 516900 145732 1256972    0    0     0     3   30   60  0  0 100  0  0
 0  0    512 516420 145800 1256980    0    0     0    15   36   69  0  0 100  0  0
 0  0    512 516420 145824 1256984    0    0     0     3   28   57  0  0 100  0  0
 5  0    512 516420 145856 1256996    0    0     0     2   31   61  0  0 100  0  0
 2  0    512 515916 145904 1257008    0    0     0     8   31   63  0  0 100  0  0
 1  0    512 515656 145944 1257160    0    0     1     3   33   66  0  0 100  0  0
 1  0    512 515656 145992 1257168    0    0     0    13   31   60  0  0 100  0  0
 0  0    512 515656 146024 1257172    0    0     0     3   30   60  0  0 100  0  0
 1  0    512 515404 146056 1257196    0    0     0     3   31   59  0  0 100  0  0
 2  0    512 515404 146088 1257208    0    0     0     3   28   59  0  0 100  0  0
 0  0    512 515396 146180 1257232    0    0     0     8   44   85  0  0 100  0  0
 0  0    512 515396 146212 1257240    0    0     0    14   31   60  0  0 100  0  0
 1  0    512 515396 146240 1257244    0    0     0     2   30   60  0  0 100  0  0
 0  0    512 515396 146276 1257256    0    0     0     2   31   62  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    512 516152 146332 1257252    0    0     0    11   39   73  0  0 100  0  0
 1  0    512 515648 146380 1257356    0    0     1    15   35   67  0  0 100  0  0
 1  0    512 515648 146404 1257364    0    0     0     3   29   58  0  0 100  0  0
 1  0    512 515648 146440 1257368    0    0     0     2   30   60  0  0 100  0  0
 1  0    512 515900 146472 1257372    0    0     0     2   38   70  0  0 100  0  0
 0  0    512 515380 146528 1257568    0    0     2    19   39   70  0  0 100  0  0
 0  0    512 515348 146560 1257580    0    0     0     3   32   61  0  0 100  0  0
 1  0    512 515348 146596 1257584    0    0     0     2   34   64  0  0 100  0  0
 0  0    512 514844 146792 1257700    0    0     4     4   45   80  0  0 100  0  0
 0  0    512 514096 146832 1257720    0    0     1    11   36   69  0  0 100  0  0
 0  0    512 517380 146896 1257720    0    0     0    20   36   67  0  0 100  0  0
 0  0    512 517380 146920 1257732    0    0     0     4   27   57  0  0 100  0  0
 0  0    512 517380 146944 1257736    0    0     0     2   29   56  0  0 100  0  0
 1  0    512 517932 146976 1257816    0    0     2    13   32   65  0  0 100  0  0
 0  0    512 517932 147000 1257832    0    0     0     2   29   58  0  0 100  0  0
 0  0    512 517932 147040 1257844    0    0     0     3   28   58  0  0 100  0  0
 0  0    512 514648 147084 1257952    0    0     1     4   38   71  0  0 100  0  0
 0  0    512 513816 147140 1257992    0    0     0     4   39   81  0  0 100  0  0
 0  0    512 513876 147172 1257996    0    0     0    13   31   61  0  0 100  0  0
 0  0    512 513876 147196 1258008    0    0     0     2   28   56  0  0 100  0  0
 0  0    512 513372 147244 1258024    0    0     0     7   32   62  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0    512 514128 147284 1258036    0    0     0     6   40   76  0  0 100  0  0
 1  0    512 514364 147368 1258080    0    0     0    22   46   84  0  0 100  0  0
 1  0    512 514616 147416 1258096    0    0     0     8   56  110  0  0 100  0  0
 1  0    512 514616 147456 1258108    0    0     0     5   36   69  0  0 100  0  0
 2  0    512 514616 147492 1258120    0    0     0     2   31   61  0  0 100  0  0
 2  0    512 515812 147548 1258180    0    0     0     6   30   61  0  0 100  0  0
 1  0    512 516648 147580 1258112    0    0     0    13   28   59  0  0 100  0  0
 1  0    512 516648 147604 1258124    0    0     0     3   27   58  0  0 100  0  0
 1  0    512 516648 147636 1258136    0    0     0     3   28   59  0  0 100  0  0
 1  0    512 515560 147700 1258356    0    0     0     8   28   62  0  0 100  0  0
 1  0    512 516632 147740 1258276    0    0     0    14   30   60  0  0 100  0  0
 2  0    512 516632 147772 1258284    0    0     0     2   28   58  0  0 100  0  0
 0  0    512 516632 147804 1258296    0    0     0     2   29   60  0  0 100  0  0
 1  0    512 515308 147844 1258424    0    0     1     3   30   63  0  0 100  0  0
 0  0    512 515592 147884 1258400    0    0     0    18   39   75  0  0 100  0  0
 0  0    512 515560 147920 1258408    0    0     0     2   32   62  0  0 100  0  0
 0  0    512 515560 147952 1258412    0    0     0     3   29   60  0  0 100  0  0
 1  0    512 515560 147984 1258424    0    0     0     2   26   57  0  0 100  0  0
 0  0    512 513904 148048 1258796    0    0     3    23   36   76  0  0 100  0  0
 1  0    512 515236 148100 1258736    0    0     0     8   30   60  0  0 100  0  0
 0  0    512 515236 148124 1258744    0    0     0     3   27   57  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0    512 515236 148156 1258748    0    0     0     3   29   58  0  0 100  0  0
 1  0    512 515480 148204 1258768    0    0     0     3   29   62  0  0 100  0  0
 1  0    512 515480 148236 1258780    0    0     0    14   31   60  0  0 100  0  0
 1  0    512 515480 148268 1258792    0    0     0     2   31   59  0  0 100  0  0
 1  0    512 515228 148300 1258804    0    0     0     3   28   58  0  0 100  0  0
 1  0    512 513676 148348 1258824    0    0     0    14   32   64  0  0 100  0  0
 1  0    512 514796 148376 1258700    0    0     0     2   30   60  0  0 100  0  0
 1  0    512 514796 148412 1258716    0    0     0     3   29   60  0  0 100  0  0
 0  0    512 515172 148460 1258728    0    0     0     7   30   60  0  0 100  0  0
 2  0    512 514916 148484 1258736    0    0     0     2   33   61  0  0 100  0  0
 1  0    512 516044 148540 1258748    0    0     0    15   33   65  0  0 100  0  0
 1  0    512 515920 148564 1258760    0    0     0     2   32   61  0  0 100  0  0
 2  0    512 515920 148604 1258776    0    0     0     3   31   60  0  0 100  0  0
 1  0    512 515796 148644 1258788    0    0     0     3   29   58  0  0 100  0  0
 1  0    512 514748 148692 1258856    0    0     0     3   32   63  0  0 100  0  0
 6  0    512 515292 148716 1258816    0    0     0    13   30   61  0  0 100  0  0
 1  0    512 515292 148756 1258828    0    0     0     3   28   57  0  0 100  0  0
 1  0    512 515292 148780 1258840    0    0     0     3   29   59  0  0 100  0  0
 1  0    512 514796 148828 1259068    0    0     2     8   32   65  0  0 100  0  0
 1  0    512 514804 148868 1259072    0    0     0    13   29   59  0  0 100  0  0
 1  0    512 406968 151252 1355468    0    0   347  5517  313  579 13  2 84  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 406968 151284 1355480    0    0     0    30   29   58  0  0 100  0  0
 1  0    512 407568 151340 1355520    0    0     0     8   50   83  2  0 98  0  0
