procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0    512 957072 417864 1279044    0    0  3139  4886 1749  343 25 16 58  1  0
 8  0    512 272348 417928 1296616    0    0  9873  6187 8271 20404 60 39  0  0  0
10  0    512 246644 418080 1296632    0    0  4049 16652 7394 19625 62 38  0  0  0
11  0    512 245384 418196 1296652    0    0  3857 16420 7177 19636 62 37  1  0  0
 8  0    512 244880 418332 1296676    0    0  4005 17463 7658 19864 62 37  1  0  0
11  0    512 244352 418408 1296732    0    0  4102 17704 7645 19500 61 38  1  0  0
 9  0    512 244352 418488 1296752    0    0  4322 18276 7547 19803 62 37  1  0  0
 9  0    512 244100 418556 1296768    0    0  4389 18456 7519 19474 61 38  1  0  0
 7  0    512 243848 418588 1296788    0    0  4580 18736 7271 20013 62 37  1  0  0
 8  0    512 241980 418632 1296888    0    0  4516 18607 7517 19673 62 37  1  0  0
 8  0    512 242012 418672 1296880    0    0  4356 18502 7312 19077 62 37  1  0  0
 0  0    512 240000 418824 1296904    0    0  3021 10354 2106 4577 13  8 77  3  0
 1  0    512 243356 418964 1296972    0    0  1833  8094  952 1565  2  1 94  3  0
 1  0    512 243828 418996 1296984    0    0     0  5752  308  488  1  3 92  4  0
 1  0    512 707576  51052 1202668    0    0  3464  7907  672 1125 16  4 76  4  0
 1  0    512 706584  51976 1202568    0    0     3  2594   98  123  0  0 100  0  0
 0  0    512 701080  52232 1205844    0    0    22    28   51   85  1  0 98  0  0
 1  0    512 701204  52264 1205856    0    0     0     2   24   53  0  0 100  0  0
 1  0    512 685924  52896 1207308    0    0    31    20   49  107  1  0 99  0  0
 1  0    512 545892 143572 1250960    0    0  1892   297  417  770  1  1 97  2  0
 2  0    512 548128 143628 1251200    0    0     3    19   36   69  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0    512 548380 143656 1251204    0    0     0     3   27   56  0  0 100  0  0
 1  0    512 547104 143712 1251332    0    0     0     3   33   70  0  0 100  0  0
 1  0    512 547356 143756 1251344    0    0     0    15   30   59  0  0 100  0  0
 1  0    512 547632 143796 1251320    0    0     0    14   34   66  0  0 100  0  0
 1  0    512 547632 143848 1251332    0    0     0     8   31   60  0  0 100  0  0
 1  0    512 547380 143872 1251336    0    0     0     2   35   67  0  0 100  0  0
 1  0    512 547380 143920 1251356    0    0     0     5   41   88  0  0 100  0  0
 1  0    512 547608 143964 1251444    0    0     1    15   32   64  0  0 100  0  0
 1  0    512 547608 144000 1251456    0    0     0     3   28   59  0  0 100  0  0
 1  0    512 547608 144032 1251464    0    0     0     2   26   56  0  0 100  0  0
 1  0    512 547608 144064 1251468    0    0     0     2   26   56  0  0 100  0  0
 1  0    512 546040 144096 1251744    0    0     1     3   32   64  0  0 100  0  0
