Linux 5.4.0-84-generic (kyungmin-VirtualBox) 	2021년 09월 23일 	_x86_64_	(2 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          10.27    0.14    7.30    0.46    0.00   81.84

Device            r/s     w/s     rMB/s     wMB/s   rrqm/s   wrqm/s  %rrqm  %wrqm r_await w_await aqu-sz rareq-sz wareq-sz  svctm  %util
loop0            0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    1.05    0.00   0.00     2.42     0.00   2.74   0.00
loop1            0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.80    0.00   0.00    20.31     0.00   1.18   0.00
loop2            0.02    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.27    0.00   0.00     2.27     0.00   0.68   0.00
loop3            0.89    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.75    0.00   0.00     1.03     0.00   0.10   0.01
loop4            0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.55    0.00   0.00     8.78     0.00   0.90   0.00
loop5            0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.75    0.00   0.00     2.35     0.00   1.40   0.00
loop6            0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.40    0.00   0.00     8.38     0.00   1.10   0.00
loop7            0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    1.27    0.00   0.00     2.83     0.00   2.05   0.00
sda             45.98  151.40      0.26      2.25     2.26    14.53   4.69   8.76    0.63    0.27   0.00     5.73    15.22   0.38   7.47
sdb              0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.30    0.00   0.00    24.13     0.00   0.72   0.00
sdc              0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.31    0.00   0.00    24.13     0.00   0.63   0.00
loop8            0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.53    0.00   0.00     2.59     0.00   1.41   0.00
loop9            0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    1.42    0.00   0.00     2.42     0.00   2.53   0.00
loop10           0.02    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.15    0.00   0.00     2.38     0.00   0.45   0.00
loop11           0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.28    0.00   0.00     2.63     0.00   0.70   0.00
loop12           0.02    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.20    0.00   0.00     2.39     0.00   0.53   0.00
loop13           0.06    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.10    0.00   0.00     1.43     0.00   0.28   0.00
loop14           0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    1.02    0.00   0.00     2.83     0.00   1.95   0.00
loop15           0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.44    0.00   0.00     2.60     0.00   1.07   0.00
loop16           0.01    0.00      0.00      0.00     0.00     0.00   0.00   0.00    1.54    0.00   0.00    14.55     0.00   1.95   0.00
loop17           0.04    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.24    0.00   0.00     2.94     0.00   0.45   0.00
loop18           0.00    0.00      0.00      0.00     0.00     0.00   0.00   0.00    0.00    0.00   0.00     1.00     0.00   1.00   0.00

